07.07.2017
----------
xui,1.0.0
xui-theme,1.0.0
material-icons,3.0.1,https://github.com/google/material-design-icons
roboto-regular,2017,https://fonts.google.com/specimen/Roboto
jquery,3.2.1,https://jquery.com/
bootstrap,3.3.7,http://getbootstrap.com/
moment,2.18.1,https://momentjs.com/
bootstrap-datetimepicker,4.17.47,https://github.com/Eonasdan/bootstrap-datetimepicker
bootstrap-back-to-top,0,http://unlicense.org/
bootstrap-datepicker,1.7.1,https://github.com/uxsolutions/bootstrap-datepicker
bootstrap-dialog,1.35.4,https://github.com/nakupanda/bootstrap3-dialog
bootstrap-feedback-left,0,http://unlicense.org/
bootstrap-fileinput,4.4.2,https://github.com/kartik-v/bootstrap-fileinput
bootstrap-select,1.12.2,https://github.com/silviomoreto/bootstrap-select
bootstrap-smartmenus,1.0.1,https://github.com/vadikom/smartmenus
d3,4.9.1,https://d3js.org/
font-awesome,4.7.0,http://fontawesome.io/
ionicons,2.0.1,https://github.com/ionic-team/ionicons
js-cookie,2.1.4,https://github.com/js-cookie/js-cookie
jquery-form,4.2.1,https://github.com/jquery-form/form
jquery-stickytableheaders,0.1.19,https://github.com/jmosbech/StickyTableHeaders
jquery-typeahead,0.11.1,https://github.com/twitter/typeahead.js
md5,2.2,http://pajhome.org.uk/crypt/md5/md5.html
nvd3,1.8.5,http://nvd3.org/
slimbox2,2.05,https://github.com/cbeyls/slimbox
tinymce,4.6.4,https://www.tinymce.com/

